,company_name,date,total_num_words_present,total_num_sents_present,avg_num_2_word_ratio_present,total_num_questions,total_num_words_qna,total_num_sents_qna,avg_num_2_word_ratio_qna,similarity_to_1_previous,similarity_to_2_previous,similarity_to_3_previous
0,AAPL.OQ,2019-Apr-30,4266.0,201.0,0.0126929698794819,24.0,2101.0,106.0,0.0127719963450574,,,
1,AAPL.OQ,2019-Jan-29,3972.0,183.0,0.0132437787424967,14.0,2967.0,176.0,0.0133819368019025,0.8276575207710266,,
2,AAPL.OQ,2019-Jul-30,4031.0,176.0,0.0161022935963364,25.0,2619.0,169.0,0.0115885410519081,0.8727452754974365,0.8406597375869751,
3,AAPL.OQ,2019-Oct-30,4307.0,192.0,0.0143882888747485,22.0,2570.0,158.0,0.0088905751103504,0.7937821745872498,0.8253560066223145,0.8473188281059265
4,AAPL.OQ,2020-Apr-30,4063.0,176.0,0.0085627381889383,19.0,2481.0,148.0,0.0071339240486345,0.7962886095046997,0.8478485345840454,0.8172501921653748
5,AAPL.OQ,2020-Jan-28,3154.0,140.0,0.0141556848107846,37.0,3044.0,169.0,0.0092659435685376,0.8139384984970093,0.8112095594406128,0.8124723434448242
6,AAPL.OQ,2020-Jul-30,3559.0,162.0,0.0122925219258141,22.0,2547.0,139.0,0.0102352262917613,0.7835931777954102,0.7813557386398315,0.7636269330978394
7,AAPL.OQ,2020-Oct-29,3890.0,176.0,0.0096924766772088,27.0,3022.0,165.0,0.0126694437198042,0.8287157416343689,0.7422274351119995,0.7260932922363281
8,AAPL.OQ,2021-Apr-28,3290.0,138.0,0.0126087920777604,29.0,3211.0,199.0,0.0124401124188954,0.8741481900215149,0.7917062044143677,0.7925031185150146
9,AAPL.OQ,2021-Jan-27,3215.0,139.0,0.0139331270992694,31.0,3381.0,193.0,0.0079457399637126,0.8564229607582092,0.7607786059379578,0.808135986328125
10,AAPL.OQ,2021-Jul-27,3222.0,133.0,0.0102150096078385,39.0,3275.0,191.0,0.0215044826511477,0.7671789526939392,0.8429651260375977,0.8008357286453247
11,AAPL.OQ,2021-Oct-28,3434.0,163.0,0.0176742730070453,37.0,2835.0,169.0,0.0111425411435035,0.891423225402832,0.7460455894470215,0.8147116899490356
12,AAPL.OQ,2022-Apr-28,3091.0,149.0,0.0117855872940618,28.0,2801.0,175.0,0.0093994635040819,0.7236955761909485,0.7913919687271118,0.8465626239776611
13,AAPL.OQ,2022-Jan-27,3131.0,144.0,0.0110730060763371,34.0,2773.0,171.0,0.0130591508125605,0.8528206944465637,0.7478435039520264,0.711517333984375
14,AAPL.OQ,2022-Jul-28,3004.0,138.0,0.0106090273150218,32.0,2875.0,178.0,0.0137037727298286,0.7631263732910156,0.7678946256637573,0.8342423439025879
15,AAPL.OQ,2022-Oct-27,3597.0,167.0,0.0112448283208229,26.0,2650.0,174.0,0.0209685719812314,0.8210995197296143,0.8013187646865845,0.838282585144043
16,AAPL.OQ,2023-Aug-03,3213.0,146.0,0.012959477193494,36.0,2855.0,174.0,0.0069903232659092,0.8201332092285156,0.8257644772529602,0.8527117371559143
17,AAPL.OQ,2023-Feb-02,3667.0,183.0,0.0111660830029997,39.0,2371.0,161.0,0.0106996774921537,0.83646559715271,0.8654810190200806,0.8459957838058472
18,AAPL.OQ,2023-May-04,3217.0,154.0,0.0117321796553629,54.0,2572.0,155.0,0.0070736603590531,0.8939228057861328,0.8595042824745178,0.8772057294845581
19,AAPL.OQ,2023-Nov-02,3291.0,158.0,0.0115875792284978,43.0,2905.0,174.0,0.0073918839625905,0.8601266741752625,0.8509839177131653,0.9101125001907349
20,AAPL.OQ,2024-Feb-01,3298.0,153.0,0.0147179897712958,22.0,2502.0,138.0,0.0139005199413657,0.8732402324676514,0.8715100884437561,0.8657874464988708
21,GOOGL.OQ,2019-Apr-29,3706.0,182.0,0.0132932859574962,24.0,3019.0,145.0,0.0044857318125188,,,
22,GOOGL.OQ,2019-Jul-25,3662.0,194.0,0.0153482636241256,25.0,3071.0,179.0,0.0018653513842812,0.8067203760147095,,
23,GOOGL.OQ,2019-Oct-28,3315.0,175.0,0.0163502181651779,18.0,2946.0,151.0,0.0025531200160279,0.8045927286148071,0.8498528599739075,
24,GOOGL.OQ,2020-Feb-03,3562.0,186.0,0.0154661581888622,30.0,2935.0,131.0,0.0019122666079418,0.8484194278717041,0.8792091012001038,0.8391525149345398
25,GOOGL.OQ,2020-Jul-30,3609.0,192.0,0.0144224907294278,13.0,2825.0,164.0,0.0030811657839876,0.8507692813873291,0.780631422996521,0.8591792583465576
26,GOOGL.OQ,2020-Oct-29,2702.0,148.0,0.0177311954174686,21.0,2567.0,139.0,0.0023830642779752,0.8213621973991394,0.8753060102462769,0.8890066146850586
27,GOOGL.OQ,2021-Apr-27,3620.0,202.0,0.0181772002479305,11.0,2512.0,152.0,0.0014623810868265,0.7702845335006714,0.7781997919082642,0.8372498750686646
28,GOOGL.OQ,2021-Feb-02,3765.0,199.0,0.0161411319539441,12.0,2741.0,156.0,0.0034191567505472,0.7917793989181519,0.828625500202179,0.8300350904464722
29,GOOGL.OQ,2021-Jul-27,3507.0,196.0,0.0200785858973835,23.0,3202.0,197.0,0.0022193882175558,0.8409645557403564,0.8195163011550903,0.7999218106269836
30,GOOGL.OQ,2021-Oct-26,3678.0,211.0,0.0190460340654934,24.0,3101.0,172.0,0.003927621657254,0.824793815612793,0.8451793789863586,0.8236810564994812
