company_1,date_1,tempo_segment_1,chroma_stft_segment_1,rmse_segment_1,spec_cent_segment_1,spec_bw_segment_1,rolloff_segment_1,zcr_segment_1,mfcc_segment_1,company_2,date_2,tempo_segment_2,chroma_stft_segment_2,rmse_segment_2,spec_cent_segment_2,spec_bw_segment_2,rolloff_segment_2,zcr_segment_2,mfcc_segment_2,company_3,date_3,tempo_segment_3,chroma_stft_segment_3,rmse_segment_3,spec_cent_segment_3,spec_bw_segment_3,rolloff_segment_3,zcr_segment_3,mfcc_segment_3,company_4,date_4,tempo_segment_4,chroma_stft_segment_4,rmse_segment_4,spec_cent_segment_4,spec_bw_segment_4,rolloff_segment_4,zcr_segment_4,mfcc_segment_4,company_5,date_5,tempo_segment_5,chroma_stft_segment_5,rmse_segment_5,spec_cent_segment_5,spec_bw_segment_5,rolloff_segment_5,zcr_segment_5,mfcc_segment_5,company_6,date_6,tempo_segment_6,chroma_stft_segment_6,rmse_segment_6,spec_cent_segment_6,spec_bw_segment_6,rolloff_segment_6,zcr_segment_6,mfcc_segment_6,company_7,date_7,tempo_segment_7,chroma_stft_segment_7,rmse_segment_7,spec_cent_segment_7,spec_bw_segment_7,rolloff_segment_7,zcr_segment_7,mfcc_segment_7,company_8,date_8,tempo_segment_8,chroma_stft_segment_8,rmse_segment_8,spec_cent_segment_8,spec_bw_segment_8,rolloff_segment_8,zcr_segment_8,mfcc_segment_8,company_9,date_9,tempo_segment_9,chroma_stft_segment_9,rmse_segment_9,spec_cent_segment_9,spec_bw_segment_9,rolloff_segment_9,zcr_segment_9,mfcc_segment_9,company_10,date_10,tempo_segment_10,chroma_stft_segment_10,rmse_segment_10,spec_cent_segment_10,spec_bw_segment_10,rolloff_segment_10,zcr_segment_10,mfcc_segment_10,company_11,date_11,tempo_segment_11,chroma_stft_segment_11,rmse_segment_11,spec_cent_segment_11,spec_bw_segment_11,rolloff_segment_11,zcr_segment_11,mfcc_segment_11,company_12,date_12,tempo_segment_12,chroma_stft_segment_12,rmse_segment_12,spec_cent_segment_12,spec_bw_segment_12,rolloff_segment_12,zcr_segment_12,mfcc_segment_12,company_13,date_13,tempo_segment_13,chroma_stft_segment_13,rmse_segment_13,spec_cent_segment_13,spec_bw_segment_13,rolloff_segment_13,zcr_segment_13,mfcc_segment_13,company_14,date_14,tempo_segment_14,chroma_stft_segment_14,rmse_segment_14,spec_cent_segment_14,spec_bw_segment_14,rolloff_segment_14,zcr_segment_14,mfcc_segment_14,company_15,date_15,tempo_segment_15,chroma_stft_segment_15,rmse_segment_15,spec_cent_segment_15,spec_bw_segment_15,rolloff_segment_15,zcr_segment_15,mfcc_segment_15
GOOGL.OQ,2021-Apr-27,125.0,0.40315577,0.04149217,1014.4828060974291,819.0954130643472,1868.0040305336981,0.09676471492259665,-22.710749,GOOGL.OQ,2021-Apr-27,117.1875,0.41493008,0.04828041,1095.393178458337,870.2546253030557,2052.96757398221,0.09867006419988027,-23.39985,GOOGL.OQ,2021-Apr-27,117.1875,0.41389263,0.05223839,1111.6535061824918,860.0292290194346,2052.5439403010605,0.10257932106354772,-23.181374,GOOGL.OQ,2021-Apr-27,98.6842105263158,0.42023784,0.037115816,1244.0219906299812,915.1962781946876,2246.171260263428,0.12650660574538145,-22.944233,GOOGL.OQ,2021-Apr-27,98.6842105263158,0.42327744,0.041480858,1354.8795390920452,939.1421211085681,2380.770505473828,0.1503309888705953,-21.498621,GOOGL.OQ,2021-Apr-27,110.29411764705883,0.38965264,0.04800221,1140.220968405619,797.8641630292625,1949.7185575607252,0.12046406263363839,-21.95092,GOOGL.OQ,2021-Apr-27,117.1875,0.35285676,0.04756675,969.3670155253894,671.3003689991659,1603.917208347588,0.09878106758360418,-23.124798,GOOGL.OQ,2021-Apr-27,133.92857142857142,0.34761542,0.050587736,970.7710975864826,689.1223854814706,1633.6410579883682,0.09979830626710572,-23.021912,GOOGL.OQ,2021-Apr-27,125.0,0.4136048,0.03863485,1235.1841209414956,880.4701140604518,2198.8993542593225,0.12485909502758297,-22.229883,GOOGL.OQ,2021-Apr-27,133.92857142857142,0.39801803,0.041171733,1092.721652901722,795.6437001363546,1907.7200222374272,0.11185240509001881,-23.299305,GOOGL.OQ,2021-Apr-27,104.16666666666667,0.39151236,0.046133656,1126.1668358186114,816.7021630942867,2002.8879255046186,0.11446161103746151,-22.50362,GOOGL.OQ,2021-Apr-27,156.25,0.36775842,0.050382245,1044.7516256464164,749.3391569728805,1821.2092135648306,0.10376761688013171,-23.381445,GOOGL.OQ,2021-Apr-27,133.92857142857142,0.41769132,0.048603155,1202.2314724233297,883.6094667147179,2174.6279507355457,0.1210374548302258,-21.573372,GOOGL.OQ,2021-Apr-27,144.23076923076923,0.38773033,0.056496143,1059.707237481201,772.1868308662074,1859.3282265651728,0.10875875999615121,-22.144112,GOOGL.OQ,2021-Apr-27,104.16666666666667,0.39794606,0.045777775,1099.5744436681034,831.5333939784349,1995.201045586726,0.11016839438825693,-22.616594
GOOGL.OQ,2020-Jul-30,117.1875,0.3948682,0.043585908,1228.5526711936536,886.9921471088029,2234.2556455799468,0.12168356941560368,-24.092003,GOOGL.OQ,2020-Jul-30,98.6842105263158,0.41353768,0.057073377,1180.920427960548,871.7950225395603,2180.155647433996,0.1133475901994957,-23.500658,GOOGL.OQ,2020-Jul-30,110.29411764705883,0.41306236,0.04922602,1207.7211690143624,893.1286255231976,2243.0948253485612,0.11480816094537971,-23.865898,GOOGL.OQ,2020-Jul-30,133.92857142857142,0.40805933,0.05136761,1179.8837297780126,874.4729827849103,2189.0689891723523,0.11199978330799466,-23.604708,GOOGL.OQ,2020-Jul-30,125.0,0.37184188,0.046744846,1005.1630582602727,690.1832334860426,1696.0969945861762,0.10579371558421091,-23.843239,GOOGL.OQ,2020-Jul-30,125.0,0.35990268,0.04835729,1003.6128028455398,699.8454548473562,1701.7727028329873,0.1049207915399733,-23.562794,GOOGL.OQ,2020-Jul-30,104.16666666666667,0.36655253,0.04805838,999.360723742177,684.3394026129862,1685.6065522100266,0.10636810873071789,-23.528055,GOOGL.OQ,2020-Jul-30,117.1875,0.37886915,0.060769398,1056.8239083556887,799.3502444149793,1906.2488412192229,0.10548576959266538,-22.076878,GOOGL.OQ,2020-Jul-30,125.0,0.37296197,0.059822403,1023.0920640055747,720.1568338562793,1782.5733276475823,0.10669220522934589,-21.773403,GOOGL.OQ,2020-Jul-30,110.29411764705883,0.3687425,0.05897431,1052.6732179269784,787.5110367003834,1897.4861409819046,0.10569739193210471,-22.298985,GOOGL.OQ,2020-Jul-30,89.28571428571429,0.36865252,0.062299885,1079.8977528315752,790.1219837041167,1939.6031871106497,0.10521867062351677,-22.035236,GOOGL.OQ,2020-Jul-30,125.0,0.39169407,0.053504504,1143.9651527884091,798.716929093103,2001.3928544942153,0.1196812686563705,-22.076965,GOOGL.OQ,2020-Jul-30,98.6842105263158,0.3791591,0.07083436,1033.9044697548284,811.5991216632809,1927.8601027143281,0.09794688670368586,-22.0935,GOOGL.OQ,2020-Jul-30,125.0,0.3692361,0.04860114,1044.5670320658062,780.4183617058013,1870.773926505488,0.10455505135716404,-23.299952,GOOGL.OQ,2020-Jul-30,117.1875,0.3860226,0.060393643,1153.2506904332952,861.6744085776221,2135.668894615841,0.11177114137588995,-22.577232
GOOGL.OQ,2021-Feb-02,125.0,0.36495295,0.049023222,871.1687465536982,722.5058238519085,1596.4055106466876,0.08319157260449526,-23.251984,GOOGL.OQ,2021-Feb-02,117.1875,0.3943977,0.04698232,878.6911672739163,751.6718431162882,1663.3120563880127,0.07944905855678233,-23.623486,GOOGL.OQ,2021-Feb-02,117.1875,0.40336853,0.04598513,917.8493469502953,774.3372506901931,1739.6108537066245,0.08459164592369874,-23.061338,GOOGL.OQ,2021-Feb-02,110.29411764705883,0.3963447,0.04530369,1141.2588441824382,832.6464707244933,2030.4428726340693,0.12264423550867508,-22.128399,GOOGL.OQ,2021-Feb-02,104.16666666666667,0.3906858,0.045239422,1040.2677752374193,751.7316663198692,1809.392251577287,0.11032237344735804,-22.878052,GOOGL.OQ,2021-Feb-02,104.16666666666667,0.34454772,0.04607179,959.6687946591755,653.4222545307514,1581.7958891955836,0.09818873841679811,-24.129461,GOOGL.OQ,2021-Feb-02,133.92857142857142,0.35064718,0.045372352,956.5492308216479,650.4998803466444,1580.0744282334385,0.0987863823442429,-24.55684,GOOGL.OQ,2021-Feb-02,110.29411764705883,0.3666688,0.04944451,927.6720135952085,663.7932190689655,1557.3393138801262,0.09799265575709779,-23.674017,GOOGL.OQ,2021-Feb-02,133.92857142857142,0.382084,0.046719342,1016.5870018848277,788.5107844102466,1848.967369873817,0.09759848802247634,-22.02856,GOOGL.OQ,2021-Feb-02,104.16666666666667,0.386067,0.046864603,907.6460662765543,738.0426392820146,1646.5977425078863,0.08542210912854889,-23.242981,GOOGL.OQ,2021-Feb-02,125.0,0.3637203,0.047912873,952.838533243958,693.6598190858979,1649.0807373817036,0.09631155116324921,-23.805891,GOOGL.OQ,2021-Feb-02,93.75,0.38874933,0.045429554,1074.5666158383801,842.0446041748763,1960.4137914037856,0.10679573516364353,-22.18863,GOOGL.OQ,2021-Feb-02,117.1875,0.3707037,0.049810153,1006.7977474807759,809.572223405027,1853.9099467665615,0.09859784724960567,-21.586132,GOOGL.OQ,2021-Feb-02,104.16666666666667,0.37335825,0.04749994,892.8761794520151,728.7094420190549,1622.441837539432,0.08736429786080442,-22.934624,GOOGL.OQ,2021-Feb-02,156.25,0.38809046,0.047906484,978.6553337212208,787.9908995766986,1814.2953962933755,0.09372858956033123,-21.818043
GOOGL.OQ,2023-Jul-25,144.23076923076923,0.40648264,0.07951156,1524.4472735310494,1350.9793612430578,2873.956206884415,0.1546586692022737,-13.878736,GOOGL.OQ,2023-Jul-25,133.92857142857142,0.40127802,0.08450571,1580.8482397641374,1430.688210847658,3036.4293696325494,0.15375359938142336,-13.15583,GOOGL.OQ,2023-Jul-25,144.23076923076923,0.4016372,0.08387467,1644.2858764162072,1445.0237056992478,3111.580274179924,0.16263422750510348,-13.515272,GOOGL.OQ,2023-Jul-25,133.92857142857142,0.40231228,0.083073676,1657.172909826762,1422.3004515819216,3109.956840419541,0.16459945126619036,-13.0697565,GOOGL.OQ,2023-Jul-25,125.0,0.39914286,0.08079295,1916.4906524492833,1468.6875864350131,3434.418115584964,0.20184686213131775,-12.548373,GOOGL.OQ,2023-Jul-25,133.92857142857142,0.39749086,0.08080625,1924.5152071488565,1480.7107986099356,3464.737610868647,0.20424076699545968,-12.693496,GOOGL.OQ,2023-Jul-25,125.0,0.34257895,0.09356021,1695.5453077832503,1361.4583044723836,3002.842108968042,0.18331101020255525,-15.217535,GOOGL.OQ,2023-Jul-25,156.25,0.3382006,0.09666113,1626.6170716517092,1330.7851857183082,2910.6847458820216,0.17552593864388286,-15.119406,GOOGL.OQ,2023-Jul-25,117.1875,0.35929906,0.093176685,1424.9823064602836,1182.5214022026548,2579.5900499788822,0.14973577955617345,-16.423279,GOOGL.OQ,2023-Jul-25,117.1875,0.36094448,0.10017229,1199.0142464725022,1069.52155618317,2193.03133359144,0.12091639316134029,-15.131724,GOOGL.OQ,2023-Jul-25,144.23076923076923,0.36051062,0.09998377,1197.8621803659103,1101.6108268841806,2192.3307053357735,0.12111574774743067,-14.91432,GOOGL.OQ,2023-Jul-25,156.25,0.35329676,0.1009483,1272.33486794333,1135.8182654947273,2342.5731205124594,0.13125010998873715,-15.258447,GOOGL.OQ,2023-Jul-25,133.92857142857142,0.3667827,0.09240185,1247.798384412334,1114.4934055131366,2296.524135928481,0.12168782666654934,-15.299636,GOOGL.OQ,2023-Jul-25,117.1875,0.39326227,0.08963614,1318.7775907353289,1085.906085792266,2379.8340049978883,0.13295637901678867,-15.749988,GOOGL.OQ,2023-Jul-25,133.92857142857142,0.4300647,0.08398528,1652.2811531909772,1228.1947511280555,2928.5216193861747,0.17026112151115727,-15.327159
GOOGL.OQ,2021-Jul-27,144.23076923076923,0.41247943,0.021388005,1139.834738261025,943.17590201787,2090.473441108545,0.1199926175182833,-25.595718,GOOGL.OQ,2021-Jul-27,125.0,0.43378013,0.016361037,1185.71727276928,999.366506949589,2225.8323710546574,0.12307626960642802,-26.320297,GOOGL.OQ,2021-Jul-27,156.25,0.43715277,0.016417207,1190.0515634513001,1005.738221708885,2245.306485758276,0.12077830302155504,-26.429497,GOOGL.OQ,2021-Jul-27,117.1875,0.41333798,0.013446923,1326.4709514733258,1006.182623373014,2364.888856812933,0.14832187620284834,-26.579067,GOOGL.OQ,2021-Jul-27,144.23076923076923,0.41575882,0.012373753,1368.778652279564,1028.0477465243268,2434.7250288683604,0.15580043543110084,-26.778683,GOOGL.OQ,2021-Jul-27,104.16666666666667,0.36852273,0.018845106,1184.8399979369003,909.301297955691,2033.1432832948421,0.13002106488163973,-27.781258,GOOGL.OQ,2021-Jul-27,125.0,0.35368502,0.017748717,1116.242318865174,872.7577637651062,1911.6760488837567,0.12195100497979215,-28.232103,GOOGL.OQ,2021-Jul-27,98.6842105263158,0.396816,0.016314054,1206.858392382892,939.4162032332022,2147.1829291762892,0.12551745032236336,-26.547092,GOOGL.OQ,2021-Jul-27,133.92857142857142,0.40825665,0.016061379,1140.1884678028437,890.1103198540566,2037.3460354118554,0.11474872498075443,-26.567467,GOOGL.OQ,2021-Jul-27,125.0,0.3697084,0.020401984,1074.663078533904,828.473244657004,1871.6151847575059,0.10915337519245573,-26.60504,GOOGL.OQ,2021-Jul-27,156.25,0.4096736,0.015083401,1249.334083687482,950.6911148422897,2223.4411085450347,0.1328037793494996,-27.19584,GOOGL.OQ,2021-Jul-27,144.23076923076923,0.41783577,0.014092261,1378.1758890337137,1023.4482246969488,2473.516887990762,0.1504130280504234,-26.715933,GOOGL.OQ,2021-Jul-27,117.1875,0.41396275,0.015933562,1282.6600405157958,964.8970646771472,2310.3276558891457,0.13388280949287915,-26.302343,GOOGL.OQ,2021-Jul-27,110.29411764705883,0.40495184,0.019335901,1142.4401590569569,907.4523634661792,2057.6669553502693,0.12064809468822171,-25.949528,GOOGL.OQ,2021-Jul-27,117.1875,0.42080367,0.01665805,1255.7565256483372,969.0754384152076,2264.175567744419,0.1357214383660508,-26.234072
GOOGL.OQ,2019-Apr-29,125.0,0.36127752,0.03531649,1789.016953715417,1366.2475586412731,3119.900883210122,0.17702652684727752,-19.060001,GOOGL.OQ,2019-Apr-29,104.16666666666667,0.36296552,0.042562667,1832.722085335527,1490.54529035982,3276.0886853141883,0.17970853344025448,-17.509367,GOOGL.OQ,2019-Apr-29,110.29411764705883,0.36247048,0.04358516,1842.9682943672567,1482.5295098893555,3278.7220998009666,0.18113013021573784,-17.74514,GOOGL.OQ,2019-Apr-29,117.1875,0.3838659,0.04302631,1774.7800390222003,1425.814579304086,3176.9008121268125,0.1733347068702019,-17.279272,GOOGL.OQ,2019-Apr-29,125.0,0.42039415,0.03831445,1633.4649734208072,1269.8121698418886,2936.1227608757463,0.15361616900945407,-15.49647,GOOGL.OQ,2019-Apr-29,104.16666666666667,0.42815685,0.03753829,1647.1223287080225,1267.3803439742737,2929.759693986352,0.15385538100653967,-15.778517,GOOGL.OQ,2019-Apr-29,117.1875,0.4266104,0.036730837,1648.8177984539232,1285.5535687807564,2976.9790037674156,0.15569507814721353,-15.962831,GOOGL.OQ,2019-Apr-29,117.1875,0.37166473,0.04003057,1468.6779467689007,1107.6117229419033,2595.264963036679,0.15732874475760592,-19.930414,GOOGL.OQ,2019-Apr-29,144.23076923076923,0.3543453,0.04312743,1635.3261529513993,1281.8942873457067,2917.8843385698037,0.16162859081781347,-17.557968,GOOGL.OQ,2019-Apr-29,98.6842105263158,0.38313264,0.042966053,1639.6348988695793,1183.2183908118232,2834.5002843332386,0.1692219404188584,-17.851244,GOOGL.OQ,2019-Apr-29,125.0,0.39607963,0.039265692,1444.2971252773132,1075.64174432488,2554.21213036679,0.14416354659066677,-17.458807,GOOGL.OQ,2019-Apr-29,156.25,0.39839068,0.03405244,1442.18276487323,1074.539117664966,2560.6496125959625,0.13806232173638755,-17.649677,GOOGL.OQ,2019-Apr-29,133.92857142857142,0.38257453,0.047419567,1401.1403244665576,1044.127523706598,2466.5608561984645,0.138364564636942,-17.561407,GOOGL.OQ,2019-Apr-29,110.29411764705883,0.37005132,0.0460086,1429.9024597002963,1142.7708165974154,2567.736840702303,0.13641095371588002,-16.379204,GOOGL.OQ,2019-Apr-29,117.1875,0.3706879,0.03535782,1519.3366892865658,1226.0731920117678,2744.442173727609,0.14988276807293147,-18.609701
MSFT.OQ,2023-Jan-24,93.75,0.38793454,0.01916113,1614.672064125383,1245.0101299534695,2990.139002872384,0.1554400047873068,-19.815868,MSFT.OQ,2023-Jan-24,110.29411764705883,0.31170985,0.023392268,1343.8180732968779,1175.7407185061982,2495.9072801258376,0.1272566060559431,-18.570927,MSFT.OQ,2023-Jan-24,125.0,0.31275865,0.025394283,1369.2232055629147,1169.1740426454612,2514.433516276843,0.13137664189662837,-18.139679,MSFT.OQ,2023-Jan-24,110.29411764705883,0.30587775,0.025240334,1376.907819491896,1182.6088827940505,2532.5173539871425,0.1316532744964779,-18.201708,MSFT.OQ,2023-Jan-24,125.0,0.32472444,0.02488898,1575.093015652551,1272.536861425119,2912.330307071536,0.14964220758959101,-21.57358,MSFT.OQ,2023-Jan-24,104.16666666666667,0.3365506,0.021995092,1715.1275879968891,1322.445997869112,3150.2102995486252,0.17330578227585144,-25.328749,MSFT.OQ,2023-Jan-24,117.1875,0.333473,0.022183891,1728.4743068594164,1317.5344472685836,3163.1146559978115,0.17583461297616604,-25.387066,MSFT.OQ,2023-Jan-24,125.0,0.3346074,0.02194122,1739.9655025864542,1329.5898918107753,3206.1982799890575,0.17363564427745862,-25.75419,MSFT.OQ,2023-Jan-24,117.1875,0.3214135,0.02256411,1686.754996272478,1316.3273753197127,3114.632488715634,0.16563487114878267,-25.685497,MSFT.OQ,2023-Jan-24,104.16666666666667,0.3924477,0.01971197,1703.6439913608406,1220.2709963146394,3051.3823348379156,0.17624909436551087,-24.955935,MSFT.OQ,2023-Jan-24,104.16666666666667,0.33763823,0.022243341,1461.9506614694878,1099.6870020224487,2492.174676856791,0.1525588047975653,-25.681759,MSFT.OQ,2023-Jan-24,110.29411764705883,0.32666135,0.02265651,1541.34888393613,1114.9826546092927,2593.8386934071946,0.16137231141430722,-25.62174,MSFT.OQ,2023-Jan-24,89.28571428571429,0.35767296,0.021603903,1551.2582027859335,1109.5679667980762,2651.8078494733963,0.16685674304985637,-25.84997,MSFT.OQ,2023-Jan-24,110.29411764705883,0.34752873,0.022449672,1575.4022204419812,1147.8505881360559,2795.0156442347147,0.16374619580084804,-27.135973,MSFT.OQ,2023-Jan-24,125.0,0.3503276,0.022045353,1524.5890966609559,1122.9230765231487,2641.9767730132676,0.16249847725174396,-26.188623
