company_name,date,positive_sentiment_bert_mean,positive_sentiment_bert_std,positive_sentiment_bert_mean_company_sentiment,positive_sentiment_bert_mean_analyst_sentiment,positive_sentiment_bert_mean_presentation_sentiment,positive_sentiment_bert_mean_qa_sentiment,negative_sentiment_bert_mean,negative_sentiment_bert_std,negative_sentiment_bert_mean_company_sentiment,negative_sentiment_bert_mean_analyst_sentiment,negative_sentiment_bert_mean_presentation_sentiment,negative_sentiment_bert_mean_qa_sentiment,neutral_sentiment_bert_mean,neutral_sentiment_bert_std,neutral_sentiment_bert_mean_company_sentiment,neutral_sentiment_bert_mean_analyst_sentiment,neutral_sentiment_bert_mean_presentation_sentiment,neutral_sentiment_bert_mean_qa_sentiment,polarity_bert_mean,polarity_bert_std,polarity_bert_mean_company_sentiment,polarity_bert_mean_analyst_sentiment,polarity_bert_mean_presentation_sentiment,polarity_bert_mean_qa_sentiment,positive_sentiment_bert_margin_mean_topic_sentiment,positive_sentiment_bert_cost_mean_topic_sentiment,positive_sentiment_bert_revenue_mean_topic_sentiment,positive_sentiment_bert_earnings_mean_topic_sentiment,positive_sentiment_bert_growth_mean_topic_sentiment,positive_sentiment_bert_debt_mean_topic_sentiment,positive_sentiment_bert_dividend_mean_topic_sentiment,positive_sentiment_bert_cashflow_mean_topic_sentiment,negative_sentiment_bert_margin_mean_topic_sentiment,negative_sentiment_bert_cost_mean_topic_sentiment,negative_sentiment_bert_revenue_mean_topic_sentiment,negative_sentiment_bert_earnings_mean_topic_sentiment,negative_sentiment_bert_growth_mean_topic_sentiment,negative_sentiment_bert_debt_mean_topic_sentiment,negative_sentiment_bert_dividend_mean_topic_sentiment,negative_sentiment_bert_cashflow_mean_topic_sentiment,neutral_sentiment_bert_margin_mean_topic_sentiment,neutral_sentiment_bert_cost_mean_topic_sentiment,neutral_sentiment_bert_revenue_mean_topic_sentiment,neutral_sentiment_bert_earnings_mean_topic_sentiment,neutral_sentiment_bert_growth_mean_topic_sentiment,neutral_sentiment_bert_debt_mean_topic_sentiment,neutral_sentiment_bert_dividend_mean_topic_sentiment,neutral_sentiment_bert_cashflow_mean_topic_sentiment,polarity_bert_margin_mean_topic_sentiment,polarity_bert_cost_mean_topic_sentiment,polarity_bert_revenue_mean_topic_sentiment,polarity_bert_earnings_mean_topic_sentiment,polarity_bert_growth_mean_topic_sentiment,polarity_bert_debt_mean_topic_sentiment,polarity_bert_dividend_mean_topic_sentiment,polarity_bert_cashflow_mean_topic_sentiment
AAPL.OQ,2024-Feb-01,0.25498006614583335,0.14907331401409096,0.33269725231818176,0.18216605337500003,0.29223183500000005,0.2506484651162791,0.09703212564583334,0.069440119597062,0.09089577672727273,0.0966462285,0.0671732292,0.10050409034883721,0.6479878110416667,0.15606695734384304,0.5764069845454545,0.7211877231250001,0.640594958,0.6488474451162791,0.15794794154166666,0.17243163588509286,0.24180147454545461,0.085519825875,0.2250586048,0.15014437604651162,0.29784519970417017,0.1330097615718841,0.3168626964092255,0.1313013136386871,0.4098302908241749,0.4500077068805694,0.4500077068805694,-1,0.10924840079886569,0.1048835068941116,0.07915672566741702,0.0586872324347496,0.11483517196029422,0.1139484941959381,0.1139484941959381,-1,0.5929064112050193,0.7621067762374878,0.6039806187152863,0.8100113868713379,0.4753345549106598,0.4360438883304596,0.4360438883304596,-1,0.1885968010340418,0.0281262546777725,0.23770596086978912,0.0726140886545181,0.2949951170012355,0.3360591828823089,0.3360591828823089,-1
GOOGL.OQ,2019-Apr-29,0.23314362025581395,0.11208435544847253,0.313334815,0.14685992009090906,0.24888421000000002,0.23107249002631575,0.0971255873255814,0.059041419139170416,0.07815176588888889,0.09442320281818183,0.082398638,0.09906334381578948,0.6697307832558139,0.11403831592168354,0.6085134122222222,0.7587168627272728,0.66871715,0.6698641560526317,0.13601803469069768,0.13817686902173476,0.23518305344444446,0.05243671767272728,0.16648557160000002,0.13200914825526314,0.4038236439228058,0.30535925179719925,0.25028961189091203,0.23691491633653636,0.2777451445850042,-1.0,-1.0,-1,0.12434854358434669,0.10467678867280478,0.10739060156047339,0.15512056350708,0.07835360501821219,-1.0,-1.0,-1,0.47182779014110565,0.5899639502167702,0.6423197716474534,0.6079644858837128,0.6439012426596421,-1.0,-1.0,-1,0.279475100338459,0.20068246684968472,0.14289901219308374,0.08179435096681117,0.19939154243239987,-1.0,-1.0,-1
GOOGL.OQ,2019-Jul-25,0.25062888817391304,0.11246387729808054,0.31771238047619044,0.1878334769090909,0.27644362749999996,0.24817034157142862,0.07126468336956522,0.04731753604137014,0.049932099142857136,0.0483518270909091,0.07506582249999999,0.07090267011904762,0.6781064356521739,0.11168689158917484,0.6323555299999999,0.7638147063636364,0.6484906625000001,0.6809269854761905,0.17936420129347824,0.1315301429956333,0.2677802735714286,0.13948164522727272,0.20137776375,0.17726767153571427,0.3983825743198395,0.3983825743198395,0.36636692924158915,0.2767195850610733,0.34061080045424974,-1.0,-1.0,-1,0.0913376361131668,0.0913376361131668,0.054574801985706564,0.07517271721735592,0.0519151242020038,-1.0,-1.0,-1,0.5102799534797668,0.5102799534797668,0.5790583321026394,0.6481077373027802,0.607474107008714,-1.0,-1.0,-1,0.3070448637008667,0.3070448637008667,0.3117920979857445,0.20154684782028195,0.28869565977500034,-1.0,-1.0,-1
GOOGL.OQ,2019-Oct-28,0.26052715200000004,0.1408259813973403,0.3662166730434783,0.14962011,0.2643535325,0.26019442326086956,0.08207222348,0.04965898439869412,0.0661594811304348,0.07686820475,0.077347136,0.08248310065217392,0.6574006298,0.13303215641276997,0.56762386,0.7735116741666666,0.65829936,0.6573224793478261,0.17845492738000002,0.16400726846128563,0.30005718708695645,0.07275190975,0.18700638475,0.17771132239130435,0.3515316992998123,0.3268217171231906,0.3806319534778595,0.19255220703780646,0.33058818768371234,-1.0,-1.0,-1,0.07969479821622369,0.055276325593392024,0.10399711914360518,0.07704384159296747,0.1037591436708515,-1.0,-1.0,-1,0.5687735676765442,0.6179020007451376,0.5153709411621094,0.7304039895534515,0.5656526820226149,-1.0,-1.0,-1,0.27183689177036285,0.2715453803539276,0.27663482874631884,0.11550835706293582,0.2268290404569019,-1.0,-1.0,-1
GOOGL.OQ,2020-Feb-03,0.2568108405490196,0.13775169720974895,0.3619238815454546,0.16039496415384613,0.2776252535,0.2550394011489361,0.08731426807843137,0.08931846971197142,0.06166019686363636,0.09884606876923077,0.07160936525,0.08865085555319151,0.6558748858823529,0.13307682267605614,0.5764159027272728,0.7407589792307692,0.65076536,0.6563097391489362,0.16949657958235295,0.19025560600422908,0.30026369594090907,0.06154890384615384,0.206015902,0.16638855214255321,0.3946775943040848,0.38945537805557245,0.32289553268088234,0.261806109920144,0.29302909650972914,-1.0,-1.0,-1,0.0713921677321195,0.0735660642385482,0.06964423983461321,0.07417104858905073,0.06969745909529067,-1.0,-1.0,-1,0.5339302241802215,0.536978542804718,0.607460230588913,0.6640228033065796,0.6372734308242798,-1.0,-1.0,-1,0.323285436630249,0.3158893287181854,0.2532512984342045,0.18763506785035133,0.22333164486501897,-1.0,-1.0,-1
GOOGL.OQ,2020-Jul-30,0.22936612957894736,0.10740868827193717,0.31622456000000004,0.1532272594,0.25151413,0.22676048247058825,0.09045321213157895,0.03776308562314021,0.08173188946666668,0.07533948990000001,0.102150609,0.08907704779411765,0.6801806628947368,0.11376661727514549,0.6020435626666668,0.771433242,0.6463352575,0.6841624752941177,0.1389129192368421,0.11394081253584602,0.2344926726,0.0778877723,0.14936352725,0.13768343594117644,0.3438084721565246,0.30214660118023556,0.32568368315696716,0.1991271004080772,0.2960659358650446,-1.0,-1.0,-1,0.178019568324089,0.11064334089557326,0.09290386363863941,0.11911407858133312,0.10975592071190472,-1.0,-1.0,-1,0.4781720340251922,0.587210069100062,0.5814124643802643,0.681758830944697,0.594178132712841,-1.0,-1.0,-1,0.1657888889312744,0.19150326028466225,0.23277982138097286,0.08001301934321724,0.18631001748144627,-1.0,-1.0,-1
GOOGL.OQ,2020-Oct-29,0.2470209494390244,0.1505864897651608,0.34198559866666667,0.15288807210000002,0.290736401,0.24229495467567566,0.07013194680487805,0.04005992007467898,0.05322676983333333,0.047927674200000006,0.08807536699999999,0.06819211759459462,0.6828471007317073,0.15000147073808584,0.6047876361111111,0.799184232,0.6211882700000001,0.6895129202702703,0.17688900914634148,0.16143647895999177,0.2887588411666667,0.10496040000000002,0.20266103525,0.17410284416216218,0.3329881001263857,0.48008446395397186,0.37550225853919983,0.23267439007759094,0.37430538795888424,-1.0,-1.0,-1,0.07539190026000138,0.07234852807596322,0.0619388055056333,0.06790520437061782,0.06257563247345384,-1.0,-1.0,-1,0.591619960963726,0.44756699353456497,0.562558913230896,0.6994204521179199,0.5631189793348312,-1.0,-1.0,-1,0.257596199400723,0.4077359437942505,0.313563472032547,0.1647691875696182,0.31172976922243834,-1.0,-1.0,-1
GOOGL.OQ,2021-Apr-27,0.26784930815384617,0.1269282759606649,0.34357383684210524,0.19931482311111115,0.33555295,0.25789289023529416,0.0858092172051282,0.06273578177488148,0.0677449804736842,0.09281308444444444,0.07062574299999999,0.08804208105882351,0.6463414784615384,0.12430806067183378,0.5886811873684211,0.7078720944444444,0.593821332,0.6540650294117648,0.18204009415897437,0.15697336497803507,0.2758288630105263,0.10650173788888889,0.26492720844,0.1698508126470588,0.4246384451786677,0.36572812497615814,0.45858210325241083,0.1792523749172687,0.3402706626802683,-1.0,-1.0,-1,0.0551944952458143,0.054333141073584536,0.06345555372536177,0.08334648981690404,0.05526582128368314,-1.0,-1.0,-1,0.5201670825481415,0.5799387792746226,0.4779623672366142,0.737401157617569,0.6044635251164436,-1.0,-1.0,-1,0.36944394807020825,0.3113949845234553,0.3951265513896942,0.09590588510036464,0.28500484861433506,-1.0,-1.0,-1
GOOGL.OQ,2021-Feb-02,0.2723361936111111,0.10948926719733085,0.3381127817647059,0.23947987375,0.360043302,0.25818988580645164,0.07766805683333333,0.04343360641297927,0.06964575329411764,0.054626121625,0.0738677396,0.07828101122580647,0.6499957511111112,0.11076041874591752,0.5922414688235295,0.70589400375,0.56608896,0.663529104516129,0.19466813800000002,0.12442219741986824,0.2684670296470588,0.1848537545,0.28617555380000004,0.17990887738709677,0.30773917337258655,0.3849325478076935,0.4385402997334798,0.26865411549806595,0.49629004299640656,-1.0,-1.0,-1,0.09885437786579127,0.1136538758873939,0.06191441168387727,0.09108788147568699,0.06641944404691455,-1.0,-1.0,-1,0.5934064388275146,0.5014135539531708,0.49954531093438465,0.6402579993009567,0.4372905418276787,-1.0,-1.0,-1,0.20888480047384891,0.2712786793708801,0.3766258805990219,0.17756622820161277,0.4298705831170082,-1.0,-1.0,-1
GOOGL.OQ,2021-Jul-27,0.26600022616279073,0.1252245263316865,0.32345402208333335,0.199142533125,0.3186211520000001,0.25907642013157894,0.06856972020930233,0.04141260009370656,0.058874251749999995,0.046070230625,0.0733077302,0.06794629784210526,0.6654300502325582,0.12167384343286047,0.6176717195833333,0.75478725,0.608071114,0.6729772786842104,0.19743050780000002,0.14137839467091015,0.2645797739333334,0.153072300625,0.24531342688,0.19113012371052632,0.3842809163033962,0.38339972868561745,0.4409593641757965,0.1570261344313621,0.3113065619642536,-1.0,-1.0,-1,0.05234573874622577,0.06291870540007942,0.06625648401677603,0.07811873406171795,0.06446249953781559,-1.0,-1.0,-1,0.563373290002346,0.5536815300583839,0.49278413504362106,0.7648551166057587,0.6242309336860975,-1.0,-1.0,-1,0.3319352101534605,0.3204810582101345,0.374702900648117,0.0789074040949344,0.24684407282620668,-1.0,-1.0,-1
