,company_name,date,Topic_20_positive,Topic_3_positive,Topic_0_positive,Topic_22_positive,Topic_6_positive,Topic_5_positive,Topic_4_positive,Topic_13_positive,Topic_12_positive,Topic_2_positive,Topic_25_positive,Topic_7_positive,Topic_8_positive,Topic_1_positive,Topic_10_positive,Topic_9_positive,Topic_18_positive,Topic_17_positive,Topic_11_positive,Topic_19_positive,Topic_16_positive,Topic_24_positive,Topic_15_positive,Topic_14_positive,Topic_21_positive,Topic_23_positive,Topic_20_negative,Topic_3_negative,Topic_0_negative,Topic_22_negative,Topic_6_negative,Topic_5_negative,Topic_4_negative,Topic_13_negative,Topic_12_negative,Topic_2_negative,Topic_25_negative,Topic_7_negative,Topic_8_negative,Topic_1_negative,Topic_10_negative,Topic_9_negative,Topic_18_negative,Topic_17_negative,Topic_11_negative,Topic_19_negative,Topic_16_negative,Topic_24_negative,Topic_15_negative,Topic_14_negative,Topic_21_negative,Topic_23_negative,Topic_20_neutral,Topic_3_neutral,Topic_0_neutral,Topic_22_neutral,Topic_6_neutral,Topic_5_neutral,Topic_4_neutral,Topic_13_neutral,Topic_12_neutral,Topic_2_neutral,Topic_25_neutral,Topic_7_neutral,Topic_8_neutral,Topic_1_neutral,Topic_10_neutral,Topic_9_neutral,Topic_18_neutral,Topic_17_neutral,Topic_11_neutral,Topic_19_neutral,Topic_16_neutral,Topic_24_neutral,Topic_15_neutral,Topic_14_neutral,Topic_21_neutral,Topic_23_neutral
37,GOOGL.OQ,2023-Jul-25,0.2597835958003998,0.3575526936186684,0.42297122530315234,0.5746898651123047,-1.0,0.4101345343515277,0.4586763268425351,-1.0,0.4356402059396108,0.2928780191823056,-1.0,-1.0,0.5744626096316746,0.335243858397007,0.1489995022614797,0.23343442380428314,0.5397467613220215,0.5401743650436401,0.21416175365447998,-1.0,-1.0,0.5229650735855103,-1.0,0.3617027740586888,0.6568222045898438,-1.0,0.11928170174360275,0.11349127750015921,0.15803564518042232,0.11174972355365753,-1.0,0.16819229861721396,0.11521810789903005,-1.0,0.11379209905862808,0.12023796846992091,-1.0,-1.0,0.11276907048055104,0.17330713849514723,0.10971179356177647,0.12629100680351257,0.11368981748819351,0.11174874752759933,0.1156662181019783,-1.0,-1.0,0.11321787536144257,-1.0,0.11330231143669649,0.11709541082382202,-1.0,0.6209346652030945,0.5289560072951847,0.4189931151011716,0.3135603964328766,-1.0,0.42167315538972616,0.4261055418423244,-1.0,0.45056767265001935,0.586883995878069,-1.0,-1.0,0.3127682975360325,0.491448987275362,0.7412887215614319,0.6402745842933655,0.3465633988380432,0.3480769097805023,0.6701720356941223,-1.0,-1.0,0.3638170063495636,-1.0,0.5249949070540342,0.22608235478401184,-1.0
38,GOOGL.OQ,2023-Oct-24,0.2522675742705663,0.3317174468721662,0.40119309680802484,-1.0,-1.0,0.4218069397740894,0.4958761845316206,-1.0,0.4132276736199856,0.35911253333091736,-1.0,-1.0,0.5781272153059641,0.4357754848897457,0.38410401344299316,-1.0,0.4238225743174553,0.5156043370564779,-1.0,-1.0,0.25060391426086426,-1.0,-1.0,0.33650038242340086,0.6584411263465881,-1.0,0.12210178871949513,0.11565569043159485,0.16727272932018553,-1.0,-1.0,0.1438869966400994,0.12330881080457143,-1.0,0.1146888229995966,0.12361085206270218,-1.0,-1.0,0.11401800811290741,0.11839229241013527,0.10141949728131294,-1.0,0.11296490579843521,0.11252955098946889,-1.0,-1.0,0.1606805920600891,-1.0,-1.0,0.11366808861494064,0.11690118163824081,-1.0,0.6256306171417236,0.5526268512010575,0.43153416769845143,-1.0,-1.0,0.4343060437175963,0.38081499011743636,-1.0,0.4720834866166115,0.5172766029834748,-1.0,-1.0,0.3078547616799672,0.4458322152495384,0.5144764721393585,-1.0,0.4632125049829483,0.3718660573164622,-1.0,-1.0,0.5887154936790466,-1.0,-1.0,0.5498315066099166,0.22465769946575165,-1.0
39,GOOGL.OQ,2024-Jan-30,0.2597835958003998,0.36633190876907773,0.40661831141686905,-1.0,-1.0,0.409954854532292,0.421888468650783,0.36836368838946026,0.5059478115290403,0.316877401471138,0.254744291305542,-1.0,0.4579005688428879,0.25087979063391685,0.263367493947347,0.23343442380428314,0.39141589403152466,-1.0,-1.0,-1.0,0.6383728981018066,0.3059728443622589,0.22321883589029312,0.3092000335454941,0.6574982404708862,-1.0,0.11928170174360275,0.11680018719699647,0.1428000342064336,-1.0,-1.0,0.14546555398326172,0.11383319627947924,0.11978908628225327,0.1136986156925559,0.11921253234148026,0.1131008192896843,-1.0,0.11364960484206676,0.15135975182056427,0.11668828626473744,0.12629100680351257,0.11010550293657514,-1.0,-1.0,-1.0,0.1128709465265274,0.11179806292057037,0.12112507224082947,0.11338845454156399,0.11668580770492554,-1.0,0.6209346652030945,0.5168678883049224,0.45058164234254877,-1.0,-1.0,0.4445795652113463,0.46427831889652627,0.511847198009491,0.3803535494953394,0.5639100527763367,0.6321548819541931,-1.0,0.4284498244524002,0.5977604389190674,0.6199442148208618,0.6402745842933655,0.4984785815080007,-1.0,-1.0,-1.0,0.24875609576702118,0.5822290182113647,0.655656099319458,0.5774115100502968,0.22581590712070465,-1.0
40,MSFT.OQ,2018-Oct-24,0.2597835958003998,0.37170804761074205,0.46287744575076634,-1.0,0.4758224678891046,0.4653495805604117,0.4687237610419591,0.48533400148153305,-1.0,0.3297552755102515,-1.0,-1.0,0.19801481068134308,0.4315920216696603,0.24159497519334158,0.23343442380428314,0.3355526626110077,0.3360719316535526,0.5190672874450684,0.6451779007911682,0.2679285407066345,0.4706080794334412,0.2942109654347102,-1.0,0.5815366407235464,0.31109822009290966,0.11928170174360275,0.11617521306982746,0.1798033936156167,-1.0,0.113601382289614,0.17434159879173552,0.1148104707400004,0.11091839149594307,-1.0,0.11911170789971948,-1.0,-1.0,0.12981528043746948,0.1179522299340793,0.11569200952847798,0.12629100680351257,0.11226507276296616,0.11238991800281736,0.18441259115934372,0.11813009530305862,0.1126423105597496,0.12727779895067215,0.11292868107557297,-1.0,0.10846661527951558,0.1154910655958312,0.6209346652030945,0.5121167269017961,0.35731914937496184,-1.0,0.41057610511779785,0.36030878339494976,0.41646575133005775,0.4037475809454918,-1.0,0.5511329993605614,-1.0,-1.0,0.6721698641777039,0.45045573157923563,0.6427129904429117,0.6402745842933655,0.5521822571754456,0.5515381528271569,0.2965201096875327,0.23669199645519257,0.6194291114807129,0.4021141231060028,0.5928603410720825,-1.0,0.30999671916166943,0.5734107068606785
41,MSFT.OQ,2019-Apr-24,0.2597835958003998,0.4030308544635773,0.5213538484440909,-1.0,0.480728080868721,0.3576930273662914,0.44106256403028965,0.3439216911792755,-1.0,0.3030373230576515,-1.0,-1.0,0.6095921695232391,0.35022373124957085,0.20349480956792831,0.23343442380428314,0.41118496656417847,0.45821629961331684,0.47227388992905617,-1.0,-1.0,0.38585077971220016,0.22148611148198447,-1.0,0.3672322481870651,0.37570539116859436,0.11928170174360275,0.11636914536356927,0.12475463950799572,-1.0,0.11282935291528702,0.11807665973901749,0.14007584191858768,0.10091579332947731,-1.0,0.12236263851324718,-1.0,-1.0,0.11348246410489082,0.11829677578061819,0.12423470988869667,0.12629100680351257,0.112421415746212,0.1127521221836408,0.22197601944208145,-1.0,-1.0,0.14380376785993576,0.11652953674395879,-1.0,0.15085737513644354,0.11393132992088795,0.6209346652030945,0.4805999740958214,0.35389150347974563,-1.0,0.4064425349235535,0.5242302851243452,0.4188615803917249,0.5551624894142151,-1.0,0.5746000173191229,-1.0,-1.0,0.27692537009716034,0.5314794771373272,0.6722704768180847,0.6402745842933655,0.47639358043670654,0.42903157075246173,0.3057500831782818,-1.0,-1.0,0.4703454077243805,0.661984364191691,-1.0,0.48191037135464804,0.5103632807731628
42,MSFT.OQ,2019-Jan-30,0.2597835958003998,0.29342990794352125,0.5164064764976501,0.4316160976886749,0.5101160824298858,0.3468732386827469,0.3831832133233547,0.52028755346934,0.5200720280408859,0.3183806836605072,-1.0,-1.0,0.6572895050048828,0.3240637353768474,0.20878741890192032,-1.0,-1.0,0.32635989785194397,0.305861035361886,0.2195112705230713,-1.0,0.43058180809020996,0.37272686660289767,-1.0,0.413570761680603,0.26936494931578636,0.11928170174360275,0.11933322197624616,0.1709482435669218,0.11748602613806725,0.11326265335083008,0.12679953575134278,0.1710031855851412,0.09527934342622757,0.24841498583555222,0.12225077860057354,-1.0,-1.0,0.1161494255065918,0.11481995890407186,0.11806456744670868,-1.0,-1.0,0.11912974715232849,0.3669617362320423,0.12060370296239853,-1.0,0.3754655420780182,0.11445013582706451,-1.0,0.39940145611763,0.11651857569813728,0.6209346652030945,0.5872368535825184,0.31264526162828715,0.45089787244796753,0.37662123441696166,0.5263272225856781,0.44581358656287196,0.3844330906867981,0.23151296377182007,0.5593685209751129,-1.0,-1.0,0.22656100988388062,0.5611162938569721,0.6731479912996292,-1.0,-1.0,0.5545103847980499,0.32717722468078136,0.659885048866272,-1.0,0.1939525604248047,0.5128229677677154,-1.0,0.1870277374982834,0.6141164787113667
43,MSFT.OQ,2019-Jul-18,0.23723553121089935,0.33518164480725926,0.5542582681645518,0.6532338261604309,0.4900989644229412,0.45327404818751593,0.42636769730597734,0.4050692319869995,-1.0,0.3235311955213547,-1.0,-1.0,0.6403213739395142,0.3800011446347108,0.20489411056041718,0.23343442380428314,-1.0,0.34014735743403435,0.48932800193627674,0.6108829975128174,0.20614755153656006,0.6088997647166252,0.2729564779079877,-1.0,0.5338513553142548,0.29344504858766285,0.1277419626712799,0.11364507054289182,0.13586238609707874,0.11565921828150749,0.1130116693675518,0.12517102943225342,0.11956587759777904,0.11324743429819743,-1.0,0.12426342566808064,-1.0,-1.0,0.11313342303037643,0.11860204165851748,0.11622608453035355,0.12629100680351257,-1.0,0.11892006732523441,0.2416165048877398,0.11265366524457932,0.11913523077964783,0.11690536886453629,0.1167361713372744,-1.0,0.10463427379727364,0.11637389127697263,0.6350225210189819,0.5511732722322146,0.30987932694994885,0.2311069592833519,0.3968893438577652,0.421554910865697,0.4540664181113243,0.48168331881364185,-1.0,0.5522053589423498,-1.0,-1.0,0.24654516577720642,0.5013967965905731,0.6788797974586487,0.6402745842933655,-1.0,0.5409325733780861,0.2690554807583491,0.2764633595943451,0.6747172474861145,0.2741948440670967,0.610307338146063,-1.0,0.3615143597126007,0.5901810484273093
44,MSFT.OQ,2019-Oct-23,0.24850956350564957,0.3498063140055713,0.5414428630980049,-1.0,0.3568437695503235,0.3190518707036972,0.3596208691596985,0.40857287247975665,-1.0,0.3728199432293574,-1.0,-1.0,0.4601406753063202,0.4122433412459589,0.3655555645624797,0.23343442380428314,0.4361967295408249,0.39793503781159717,0.5388688780367374,-1.0,-1.0,0.4893541733423869,0.3257860876619816,-1.0,0.42038482924302417,0.31754553814729053,0.12351183220744133,0.11187144237406113,0.13878514217894253,-1.0,0.11539967854817708,0.12075472027063369,0.12334167088071506,0.11131863296031952,-1.0,0.11691499402125677,-1.0,-1.0,0.11369834095239639,0.1143149935430096,0.11722726126511891,0.12629100680351257,0.11259469389915466,0.11361284429828326,0.2367869820445776,-1.0,-1.0,0.1409942458073298,0.11441507190465927,-1.0,0.11467048153281212,0.11411164825161298,0.6279785931110382,0.5383222383611342,0.319771970190653,-1.0,0.527756541967392,0.5601933866739273,0.5170374338825544,0.48010848959287006,-1.0,0.51026504834493,-1.0,-1.0,0.4261609613895416,0.4734416546360139,0.5172171592712402,0.6402745842933655,0.45120854675769806,0.48845209181308746,0.2243441343307495,-1.0,-1.0,0.36965156098206836,0.5597988367080688,-1.0,0.4649446780482928,0.5683428148428599
45,MSFT.OQ,2020-Apr-29,0.23723553121089935,0.34739813471541686,0.46477937372401357,0.43366503715515137,0.40851446986198425,0.41825917959213255,0.3829728367513624,0.4148859530687332,0.3848932087421417,0.2704703748226166,-1.0,-1.0,0.3961140066385269,0.3518734304486094,0.21898702681064605,0.23343442380428314,0.2644505202770233,0.34117969622214633,0.553428590297699,0.23303096741437912,-1.0,-1.0,0.25432773483426946,-1.0,0.5066315054893493,0.3261955678462982,0.1277419626712799,0.11582393505994011,0.20023779780603945,0.1362626552581787,0.11282026022672653,0.11582925766706467,0.18078184397570018,0.10129737854003906,0.11305905878543854,0.11689066506922245,-1.0,-1.0,0.16877025738358498,0.11687137196595604,0.11671800166368484,0.12629100680351257,0.1156715378165245,0.11806839580337207,0.19590157270431519,0.11716055870056152,-1.0,-1.0,0.1193546272422138,-1.0,0.15400728583335876,0.11481303721666336,0.6350225210189819,0.5367779065580929,0.3349828184582293,0.43007227778434753,0.4786652773618698,0.4659115344285965,0.4362453068124837,0.4838166683912277,0.5020477473735809,0.6126389467716217,-1.0,-1.0,0.435115709900856,0.5312551864095636,0.6642949700355529,0.6402745842933655,0.6198779543240865,0.5407518694798151,0.25066982209682465,0.6498084664344788,-1.0,-1.0,0.6263176171403182,-1.0,0.33936117589473724,0.5589913874864578
46,MSFT.OQ,2020-Jan-29,0.2597835958003998,0.304226566106081,0.5233386712960708,-1.0,0.530591348807017,0.3337256891859902,0.35322535037994385,0.25015557557344437,-1.0,0.32197847714026767,-1.0,-1.0,0.5757387280464172,0.3251001685857773,0.20391643047332764,0.23343442380428314,0.3189089745283127,0.24274373551209769,0.5475841710964838,-1.0,-1.0,0.41141465306282043,0.26316518655845095,-1.0,0.5250597298145294,0.2518379007066999,0.11928170174360275,0.11518521700054407,0.13429576139419508,-1.0,0.11426449567079544,0.12388388646973504,0.14587670530785213,0.09915294125676155,-1.0,0.12729945530494055,-1.0,-1.0,0.11162897944450378,0.11437942109563771,0.1355608105659485,0.12629100680351257,0.11244053766131401,0.22294339537620544,0.1261852044198248,-1.0,-1.0,0.12410014122724533,0.12005127540656499,-1.0,0.10918168537318707,0.11660484011684145,0.6209346652030945,0.5805882047861814,0.3423655525996135,-1.0,0.3551441232363383,0.5423904011646906,0.5008979317816821,0.6506914794445038,-1.0,0.550722062587738,-1.0,-1.0,0.3126322627067566,0.5605203969513669,0.6605227291584015,0.6402745842933655,0.568650484085083,0.5343128542105356,0.32623062531153363,-1.0,-1.0,0.4644852081934611,0.6167835167476109,-1.0,0.36575859785079956,0.6315572389534542
